frame,label,confidence
frame_1020.jpg,car,0.8147704601287842
frame_1020.jpg,car,0.7417246103286743
frame_1020.jpg,traffic light,0.6385892629623413
frame_1020.jpg,person,0.5253065228462219
frame_1020.jpg,traffic light,0.4898202121257782
frame_1020.jpg,car,0.4871043860912323
frame_1020.jpg,car,0.4554552137851715
frame_1020.jpg,car,0.4014272391796112
frame_1020.jpg,truck,0.39394137263298035
frame_1020.jpg,car,0.38735851645469666
frame_1020.jpg,car,0.3220331370830536
frame_1020.jpg,traffic light,0.32043033838272095
frame_1020.jpg,car,0.30417105555534363
frame_1020.jpg,car,0.2869266867637634
frame_1020.jpg,car,0.27567097544670105
frame_1050.jpg,car,0.8394577503204346
frame_1050.jpg,car,0.6475597620010376
frame_1050.jpg,person,0.6060065031051636
frame_1050.jpg,traffic light,0.5995309352874756
frame_1050.jpg,car,0.5778816342353821
frame_1050.jpg,car,0.5224294066429138
frame_1050.jpg,car,0.44329795241355896
frame_1050.jpg,car,0.43904849886894226
frame_1050.jpg,car,0.41953158378601074
frame_1050.jpg,car,0.38219213485717773
frame_1050.jpg,person,0.33032679557800293
frame_1050.jpg,car,0.3095540404319763
frame_1050.jpg,car,0.3073368966579437
frame_1050.jpg,traffic light,0.2974250912666321
frame_1050.jpg,backpack,0.25251543521881104
frame_1080.jpg,car,0.8974737524986267
frame_1080.jpg,car,0.8684053421020508
frame_1080.jpg,person,0.6593054533004761
frame_1080.jpg,car,0.5925261378288269
frame_1080.jpg,car,0.5792497992515564
frame_1080.jpg,car,0.5340377688407898
frame_1080.jpg,traffic light,0.5313718318939209
frame_1080.jpg,car,0.4312763214111328
frame_1080.jpg,truck,0.42529842257499695
frame_1080.jpg,car,0.3873978555202484
frame_1080.jpg,car,0.37747591733932495
frame_1080.jpg,car,0.36497047543525696
frame_1080.jpg,car,0.33571335673332214
frame_1080.jpg,car,0.3296104371547699
frame_1080.jpg,traffic light,0.31744134426116943
frame_1080.jpg,car,0.27796033024787903
frame_1080.jpg,car,0.25952479243278503
frame_1080.jpg,person,0.2588828504085541
frame_1110.jpg,car,0.9029568433761597
frame_1110.jpg,car,0.8397493362426758
frame_1110.jpg,car,0.7448100447654724
frame_1110.jpg,car,0.6733294725418091
frame_1110.jpg,person,0.6211493611335754
frame_1110.jpg,traffic light,0.5730791091918945
frame_1110.jpg,traffic light,0.5225716829299927
frame_1110.jpg,car,0.40607255697250366
frame_1110.jpg,car,0.39114972949028015
frame_1110.jpg,car,0.37788140773773193
frame_1110.jpg,truck,0.3708410859107971
frame_1110.jpg,person,0.3660919666290283
frame_1110.jpg,car,0.32118797302246094
frame_1110.jpg,car,0.30233314633369446
frame_1110.jpg,traffic light,0.2844793200492859
frame_1110.jpg,traffic light,0.27308568358421326
frame_1110.jpg,person,0.2616357207298279
frame_1110.jpg,car,0.2579614520072937
frame_1110.jpg,car,0.25233206152915955
frame_1140.jpg,car,0.8881462812423706
frame_1140.jpg,car,0.7975834608078003
